,year,data
1,1980,10.9659118
2,1981,7.259173105
3,1982,15.30756686
4,1983,16.5324866
5,1984,16.01273317
6,1985,11.26952111
7,1986,10.64854041
8,1987,10.01073846
9,1988,10.36775146
10,1989,7.220455677
11,1990,11.69245463
12,1991,12.34636816
13,1992,19.09232722
14,1993,19.6144546
15,1994,9.398287456
16,1995,10.64669668
17,1996,6.41670104
18,1997,26.07660026
19,1998,34.42118371
20,1999,27.30805814
21,2000,31.09954037
22,2001,28.81754018
23,2002,23.59972676
24,2003,30.62556446
25,2004,32.04359804
26,2005,31.52394721
27,2006,27.68842476
28,2007,29.99826179
29,2008,31.7291277
30,2009,25.32967444
31,2010,32.95355934
32,2011,25.73239084
33,2012,25.50197547
34,2013,29.12259976
35,2014,30.72904721
